AXIOMS Luce.clockBeforeCount_le_add_erase_self_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_le_add_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_lt_of_clock_lt: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_window_dist: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockRank_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockRank_le_iff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockSurvivalIndicator_independent: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockSurvivalIndicator_zero_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.comp_stepProfile_eq_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_measurable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_measurePreserving: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactMarkedClocks_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.concentration_of_variance_tendsto_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_bernoulli_laplace: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_finite_history: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_finite_history_of_representatives: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_normalized_bernoulli: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_eq_previous: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_le_upper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_compensator_coefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_cyclicDensityCoefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_intervalTestExtension: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileD: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileF: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileGapCoefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileH: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileQuantile: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_factorsThrough_of_isInducing: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_meanSurvivors: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_pointMoment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_symmetricClip: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_weightedPointMeasure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.countWindow_multiplicity_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cutoff_exponential_le_rpow: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_has_rankCylinder: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_probability_le_sum_cylinders: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_real_probability_le_sum_cylinders: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_vertex_probability_le_ghost: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicCellStep_eq_of_mem: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicDeterministicSum_eq_kernelGridSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicLimitKernel_density_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileCell_real_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileCell_unique: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileIntegral_eq_volume: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileIntegral_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_injective_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_restrict_bulk: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicRaceSum_eq_function_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicRaceSum_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_ae_coordinates: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_array_truncation_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedBeforeCount_eq_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedBeforeCount_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedClockLabel_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_gapLower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_gapUpper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemainingGe_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemaining_gapLower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemaining_lower_of_reservoir: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_eq_interval_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_eq_normalizedGapMass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_marked_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_toReal_eq_exponentialGapMass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapProduct_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedPrefixLabels_card_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deleted_remaining_weak_strict_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletion_subset: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.denominator_lower_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.denominator_replacement_converges: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deterministic_survival_fluctuation_converges: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.disjointCountTest_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.distinct_approximatePermutationPath_count_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawHistory_eq_comap_prefixVector: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawHistory_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawPermutation_eq_iff_strictMono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.draw_arrivalTime_le_iff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyBulkCylinderConstant_ge: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyBulkCylinderConstant_one_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_orderTime: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_sub_deleted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_ae_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_sub_deleted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemaining_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointAssumption_epsilon_estimate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpointAssumption_epsilon_estimate_bounded: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_epsilon_estimate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_fixedPoint_expectation_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_fixedPoint_expectation_power_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_fixedPoint_probability_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_integral_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.endpoint_window_le_row_of_size_condition: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_eventually_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_limsup_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.epsilonTailExpectation_power_limsup: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.eventually_cyclic_grid_separated: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.eventually_terminal_rates_of_endpoint_witness: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_algebra_approximation_of_isInducing: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_algebra_approximation_on_compact_of_isInducing: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_algebra_uniform_approximation_comp: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_bounded_cycle_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_cycle_tail_of_minimalPeriod: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_cyclic_test_extension: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_finite_oscillation_grid: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_prefixAgrees_next_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_profileF_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_profile_cell: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exists_unique_meanSurvivors_cutoff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.expMeasure_Ici: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.expMeasure_Ioi: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.expMeasure_nullSingleton: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exp_neg_mul_of_zero_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exp_sub_le_sub_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_eq_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialGapMass_taylor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialPDFReal_eq_piecewise: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_all_survive: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_background: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_collision_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_disintegrate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_endpoint_integrals: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_endpoint_integrals_power: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_eval: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_event_disintegrate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_first_choice: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_first_clock_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_identityNormalizedGaps: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_identityNormalizedGaps_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_identity_order_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_independent: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_injective_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_integral_eval: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_isProbability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_nonneg_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_nonnegative_background: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_order_disintegrate: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_order_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_order_recursion: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_orderedNormalizedGaps: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_orderedNormalizedGaps_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_positive_background: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_raceNormalizedGaps: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_raceNormalizedGaps_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_raceNormalizedGaps_restrict_order: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_residual_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_survival: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_survival_ge: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_surviving_order: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponentialRace_surviving_order_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponential_avoids_background: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponential_density_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponential_residual_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.exponential_scale_to_unit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finiteCyclicDensity_bounds: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finitePoissonLaw_count_joint: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finitePoissonLaw_count_univ: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finitePoissonLaw_isProbabilityMeasure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finitePoissonLaw_of_ne_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finitePoissonLaw_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finite_insertion_path: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finite_insertion_path_countWindow: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finite_insertion_path_ennreal: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.finite_insertion_path_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.first_clock_event_iff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.first_gap_density: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixedCount_inverse: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixedPointCountLaw_totalVariation_of_pointProcess: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixedPointCount_eq_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixedPoints_eq_interior_of_tail_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixedPoints_realMeasure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixedPoints_tail_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixedPoints_tail_count_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixed_point_mass_fiber_identity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fixed_point_probability_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.forwardPathWeight_cons: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.forwardPathWeight_sum_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fullDensityMeasure_restrict_Iio: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fullIntensity_mass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fullIntensity_mass_eq_toNNReal_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.fullIntensity_projection_recovery: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.gap_abs_rateKernel_time_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostColumnKernel_ne_top: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostColumnKernel_toReal: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostColumn_expectation_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostColumn_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCountKernel_marked_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCountKernel_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCountKernel_row_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCountSuccess_implies_swapped_path: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCountSuccess_probability_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCountWindow_probability_le_rank_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCycleVertexSum_eq_cylinder_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCycleVertexSum_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostCylinderProduct_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostEntry_eq_density_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostEntry_le_rate_mul_length: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostEntry_mem_Icc: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ghostEntry_row_bound: [propext, Classical.choice, Quot.sound]
